product_name,company,price,rating,reviews,manufactured_in
iPhone 14,Apple,79999,4.8,3500,China
iPhone SE,Apple,49999,4.4,2100,India
Galaxy S23,Samsung,74999,4.6,2800,India
Galaxy A54,Samsung,35999,4.3,1300,Vietnam
Redmi Note 12,Xiaomi,17999,4.4,1200,India
Redmi 13 Pro,Xiaomi,22999,4.5,1500,India
OnePlus 12,OnePlus,65999,4.6,2700,India
OnePlus Nord CE 3,OnePlus,27999,4.3,950,Vietnam
Realme 12 Pro,Realme,23999,4.4,870,India
Vivo V30,Vivo,32999,4.2,780,India
Oppo Reno 11,Oppo,37999,4.1,640,China
Asus ZenBook 14,Asus,84999,4.5,520,China
HP Pavilion 15,HP,65999,4.4,610,India
Dell Inspiron 14,Dell,59999,4.3,480,India
Lenovo IdeaPad 3,Lenovo,44999,4.2,430,China
MacBook Air M2,Apple,114999,4.9,2700,China
Acer Aspire 5,Acer,42999,4.2,350,India
LG OLED55C3,LG,139999,4.8,1800,India
Samsung Crystal UHD 55,Samsung,61999,4.6,1300,India
Sony Bravia X80J,Sony,84999,4.7,1900,India
Boat Airdopes 141,Boat,1499,4.3,5200,India
Noise Buds VS102,Noise,1799,4.2,2800,India
JBL Tune 760NC,JBL,6999,4.4,1500,Vietnam
Sony WH-1000XM5,Sony,29999,4.8,2100,Malaysia
Apple AirPods Pro 2,Apple,24999,4.7,3100,China
